workload,policy,arena_kb,lx7_per_cyc,real_lx7_per_cyc,blocks,interp_fallbacks,smc_inv,resets
bench,none,16,1.279,1.279,1584,0,22,0
bench,lru,16,1.279,1.279,1522,0,0,0
bench,fifo,16,1.279,1.279,1412,0,0,0
bench,none,32,1.279,1.279,1254,0,8,0
bench,lru,32,1.279,1.279,1171,0,0,0
bench,fifo,32,1.279,1.279,1117,0,0,0
bench,none,64,1.279,1.279,1005,0,3,0
bench,lru,64,1.279,1.279,912,0,0,0
bench,fifo,64,1.279,1.279,901,0,0,0
bench,none,128,1.279,1.279,946,0,1,0
bench,lru,128,1.279,1.279,860,0,0,0
bench,fifo,128,1.279,1.279,863,0,0,0
bench,none,256,1.279,1.279,860,0,0,0
bench,lru,256,1.279,1.279,860,0,0,0
bench,fifo,256,1.279,1.279,860,0,0,0
bench,none,512,1.279,1.279,860,0,0,0
bench,lru,512,1.279,1.279,860,0,0,0
bench,fifo,512,1.279,1.279,860,0,0,0
bench,none,1024,1.279,1.279,860,0,0,0
bench,lru,1024,1.279,1.279,860,0,0,0
bench,fifo,1024,1.279,1.279,860,0,0,0
bench,none,2048,1.279,1.279,860,0,0,0
bench,lru,2048,1.279,1.279,860,0,0,0
bench,fifo,2048,1.279,1.279,860,0,0,0
bench,none,4096,1.279,1.279,860,0,0,0
bench,lru,4096,1.279,1.279,860,0,0,0
bench,fifo,4096,1.279,1.279,860,0,0,0
boot,none,16,2.336,2.340,102484,0,98022,0
boot,lru,16,1.734,1.737,102488,0,0,0
boot,fifo,16,1.734,1.737,102487,0,0,0
boot,none,32,2.337,2.340,102479,0,14322,0
boot,lru,32,1.734,1.737,102483,0,0,0
boot,fifo,32,1.734,1.737,102483,0,0,0
boot,none,64,2.336,2.340,102468,0,5281,0
boot,lru,64,1.734,1.737,102472,0,0,0
boot,fifo,64,1.734,1.737,102472,0,0,0
boot,none,128,2.336,2.340,102468,0,2306,0
boot,lru,128,1.734,1.737,102472,0,0,0
boot,fifo,128,1.734,1.737,102472,0,0,0
boot,none,256,2.337,2.340,102468,0,1085,0
boot,lru,256,1.734,1.737,102472,0,0,0
boot,fifo,256,1.734,1.737,102472,0,0,0
boot,none,512,1.735,1.739,102467,0,615,0
boot,lru,512,1.734,1.737,102472,0,0,0
boot,fifo,512,1.734,1.737,102472,0,0,0
boot,none,1024,1.735,1.739,101858,0,303,0
boot,lru,1024,1.734,1.737,99744,0,0,0
boot,fifo,1024,1.734,1.737,101102,0,0,0
boot,none,2048,1.735,1.738,100787,0,150,0
boot,lru,2048,1.734,1.737,99744,0,0,0
boot,fifo,2048,1.734,1.737,100535,0,0,0
boot,none,4096,1.734,1.737,100262,0,75,0
boot,lru,4096,1.734,1.737,99744,0,0,0
boot,fifo,4096,1.734,1.737,100199,0,0,0
# interp baseline:
bench,interp,0,6.462,6.462,0,0,0
boot,interp,0,5.895,5.895,0,0,0
